Filière de formation très agrégée,Filière de formation,Filière de formation détaillée,Effectif total des candidats pour la formation,Dont F,En Phase Principale,Dont Bac G,Dont Bac Tech,Dont Bac Pro,En Phase Complémentaire,Dont Bac G,Dont Bac Tech,Dont Bac Pro,Nb Max Admis,En Phase Principale,En Phase Complémentaire,Dont Néo Bac,Dont Bac G,Dont Bac Pro,Donc Bac Tech,Dont F
Autre formation,Formations diplômantes paramédicales,Diplôme d'état de manipulateur/trice en électroradiologie médicale,12990,10231,12871,3559,3618,315,119,18,12,1,653,654,9,337,178,1,158,539
Autre formation,Formations diplômantes paramédicales,Diplôme d'Etat de Technicien de Laboratoire Médical,284,218,244,109,54,6,40,3,6,1,64,54,0,43,32,0,11,42
Autre formation,Formations diplômantes du social,Diplôme d'état d'Educateur de Jeunes Enfants,187,174,183,38,32,9,4,0,0,1,47,41,0,13,7,1,5,41
Autre formation,Formations diplômantes du social,Diplôme d'état d'Educateur Spécialisé,289,234,261,71,59,31,28,3,1,11,43,33,0,13,8,2,3,28
Autre formation,Formations diplômantes du social,Diplôme d'état d'Educateurs Techniques Spécialisés,507,407,382,101,100,83,125,17,18,43,59,11,1,5,3,1,1,9
Autre formation,Formations diplômantes paramédicales,Diplôme d'Ostéopathe,337,203,323,204,27,7,14,0,0,1,10,5,0,5,5,0,0,4
Autre formation,DU,Diplôme d'université Collège de droit de la Sorbonne 1ère année,622,429,583,463,31,14,39,15,4,6,60,48,1,47,47,0,0,35
Licence,Licence - Droit-économie-gestion,Droit,258239,182350,240924,190040,16136,2917,17254,5003,2440,1227,46216,36122,4703,33651,29048,1080,3523,28571
Licence,Licence - Droit-économie-gestion / Arts-lettres-langues,Droit,771,642,762,681,6,2,9,2,1,0,190,182,5,163,161,0,2,151
Licence,Licence - Droit-économie-gestion / Sciences humaines et sociales,Droit,277,176,241,205,9,1,36,17,2,0,40,25,3,27,27,0,0,17
Licence,Licence - Droit-économie-gestion,Droit français - Droit étranger,3510,2674,3270,2811,93,11,239,63,37,26,386,343,20,306,300,1,5,276
Autre formation,Formations diplômantes paramédicales,DTS Imagerie médicale et radiologie thérapeutique,18262,14366,17649,4969,6270,585,612,88,66,41,790,745,32,530,237,0,293,633
Autre formation,DU,DU informatique,166,29,92,47,18,6,74,21,16,8,45,5,1,3,3,0,0,0
Autre formation,DU,DU PAREO,481,242,312,141,78,33,167,60,41,0,125,73,33,80,47,13,20,54
Autre formation,DU,DU préparant au BTS Opticien - Lunetier,135,84,111,62,17,8,24,4,3,6,35,8,1,6,6,0,0,4
Autre formation,DU,DU Préparation à l'enseignement supérieur,108,63,57,10,9,26,51,6,8,19,12,3,5,6,0,6,0,5
Autre formation,DU,DU Web Design et mutation numérique du journalisme (SupMédiaWeb),112,61,93,56,19,4,19,7,1,2,30,16,4,13,8,2,3,11
CPGE,Classe préparatoire économique et commerciale,ECE - Option économique,60390,33076,59015,54742,796,102,1364,775,151,65,4428,3379,78,3384,3383,1,0,2045
CPGE,Classe préparatoire littéraire,Ecole nationale des Chartes,837,587,837,732,2,1,0,0,0,0,130,123,0,118,118,0,0,87
Autre formation,Ecole supérieure d'art,Ecole supérieure d'art,2298,1558,2112,896,230,108,179,48,22,19,390,292,1,188,143,10,35,210
Autre formation,Formation en ingénierie,Economie,329,99,329,257,12,1,0,0,0,0,35,34,0,33,33,0,0,13
Licence,Licence - Droit-économie-gestion,Economie,39772,17379,37698,29083,1878,370,2063,478,330,194,4330,3409,620,3066,2742,92,232,1564
Autre formation,Formation en ingénierie,Economie et gestion,681,240,681,532,16,6,0,0,0,0,40,38,0,32,32,0,0,16
Licence,Licence - Droit-économie-gestion,Economie et gestion,146167,68986,135561,99765,11804,2259,10557,2335,1628,1075,16472,12430,2254,11117,9151,542,1424,6128
BTS,BTS - Services,Economie sociale familiale,60173,54368,57332,8803,15880,20534,2822,189,613,832,3954,3219,240,2795,484,1248,1063,3239
CPGE,Classe préparatoire économique et commerciale,ECS - Option scientifique,76848,36047,75603,66236,87,13,1244,833,31,22,4454,3482,67,3387,3387,0,0,1744
CPGE,Classe préparatoire économique et commerciale,ECT - Option technologique,8839,4258,8420,0,7766,206,416,0,310,6,1410,1105,38,1112,0,62,1050,576
BTS,BTS - Services,Edition,660,525,660,247,81,96,0,0,0,0,30,30,0,18,8,5,5,24
Autre formation,Formation en ingénierie,"Electronique, énergie électrique, automatique",924,172,785,479,54,21,139,48,11,4,129,46,17,47,46,0,1,22
Licence,Licence - Sciences - technologies - santé,"Electronique, énergie électrique, automatique",1823,219,1547,940,188,62,276,43,34,52,325,156,91,131,80,24,27,34
BTS,BTS - Production,Electrotechnique,38423,1199,36471,2312,9827,17595,1926,79,523,632,4277,3276,203,3096,149,1928,1019,74
CPGE,Classe préparatoire scientifique,ENS Cachan C,1058,846,1051,446,391,4,7,3,3,0,107,91,2,73,42,0,31,77
CPGE,Classe préparatoire économique et commerciale,ENS Cachan D2,8358,4476,8126,7341,191,14,232,110,21,15,682,605,21,592,586,0,6,325
CPGE,Classe préparatoire économique et commerciale,ENS Rennes D1,12443,8708,12377,11629,111,9,66,36,6,2,609,586,5,579,568,0,11,461
BTS,BTS - Production,Enveloppe des bâtiments : conception et réalisation,2276,291,2159,191,812,796,116,4,24,45,229,179,14,164,12,100,52,20
BTS,BTS - Production,Environnement nucléaire,1080,102,1065,178,475,276,15,2,7,1,72,61,3,57,8,29,20,8
Autre formation,DEJEPS,Escalade en milieu naturel,30,8,29,11,15,0,1,0,0,0,5,0,0,0,0,0,0,0
Autre formation,DN MADE,Espace,9738,7825,9426,3700,1985,920,312,74,59,44,319,302,12,234,130,13,91,262
BTS,BTS - Production,Etude et économie de la construction,8694,1489,8267,1117,2696,2842,422,26,133,76,844,750,43,681,92,338,251,176
BTS,BTS - Production,Etude et réalisation d'agencement,6602,3096,6447,1003,1682,2451,154,24,28,39,391,370,8,326,38,197,91,194
Licence,Licence - Arts-lettres-langues,Etudes culturelles,591,434,486,339,17,22,105,22,11,14,170,88,27,76,62,7,7,76
BTS,BTS - Services,Etudes et réalisation d'un projet de communication - 1ère année commune,2489,1044,2287,238,423,1100,194,21,20,57,460,429,23,382,39,286,57,188
Licence,Licence - Arts-lettres-langues,Etudes européennes et internationales,755,620,723,577,24,11,32,4,3,1,127,75,3,69,66,1,2,62
BTS,BTS - Production,Europlastics et composites à référentiel commun européen - option Conception d'Outillage,563,62,512,50,200,206,51,4,14,18,125,79,11,77,7,45,25,8
BTS,BTS - Production,Europlastics et composites à référentiel commun européen - option Pilotage et Optimisation de la production,675,63,595,42,196,292,80,8,31,20,221,113,16,117,7,79,31,10
Autre formation,DN MADE,Événement,2120,1793,1970,662,443,250,150,28,35,19,123,107,11,87,34,18,35,104
BTS,BTS - Production,"Fluide, énergie, domotique - option A génie climatique et fluidique",6368,166,6181,352,1844,3041,186,7,55,49,664,510,29,466,31,282,153,9
BTS,BTS - Production,"Fluide, énergie, domotique - option B froid et conditionnement d'air",3648,66,3478,113,778,2116,167,9,44,41,541,347,31,332,7,237,88,6
BTS,BTS - Production,"Fluide, énergie, domotique - option C domotique et bâtiment communicants",6614,199,6380,293,1893,3446,231,12,64,85,828,640,36,609,20,393,196,22
BTS,BTS - Production,Fonderie,367,32,333,36,141,70,34,1,10,10,86,54,12,55,3,28,24,7
BTS,BTS - Production,Forge,138,6,138,43,50,23,0,0,0,0,15,15,0,13,4,4,5,2
Autre formation,DEUST,Formation de base aux métiers du théâtre,231,150,230,148,17,17,1,0,0,0,45,42,0,33,31,0,2,35
Autre formation,Classes préparatoires aux écoles paramédicales,Formation préparatoire aux professions de santé (DUPPS),2181,1859,2005,749,737,274,176,17,42,38,300,249,50,246,79,49,118,252
Autre formation,Classe préparatoire aux études supérieures,Générale,409,202,360,250,17,18,49,22,6,4,54,34,2,36,36,0,0,19
DUT,DUT - Production,Génie biologique Option agronomie,9564,5209,9500,6375,1171,31,64,15,12,0,504,499,5,417,323,1,93,305
DUT,DUT - Production,Génie biologique Option analyses biologiques et biochimiques,35644,25589,35511,21088,7595,155,133,33,23,1,905,905,10,782,511,0,271,713
DUT,DUT - Production,Génie biologique Option bio-informatique,556,210,556,338,97,2,0,0,0,0,45,44,0,33,25,0,8,21
DUT,DUT - Production,Génie biologique Option diététique,10118,8069,10081,4958,2303,85,36,0,25,0,245,228,0,171,117,0,54,201
DUT,DUT - Production,Génie biologique Option génie de l'environnement,11058,5098,10725,7009,1725,61,333,66,86,4,559,517,33,479,374,1,104,277
DUT,DUT - Production,Génie biologique Option industries agroalimentaires et biologiques,13471,8675,13105,8232,2382,61,364,56,104,3,1100,1041,42,919,668,0,251,704
DUT,DUT - Production,Génie chimique génie des procédés,6088,2850,5642,3582,930,70,443,116,66,6,700,561,50,493,355,5,133,268
Autre formation,Formation en ingénierie,Génie civil,503,121,387,243,40,8,116,38,14,1,60,8,1,9,9,0,0,3
Licence,Licence - Sciences - technologies - santé,Génie civil,3185,686,2991,1959,438,31,191,26,38,24,528,275,70,247,182,10,55,47
DUT,DUT - Production,Génie civil - Construction durable,33723,5782,32944,18286,9570,541,777,193,181,33,2565,2400,86,2214,1373,26,815,482
DUT,DUT - Production,Génie civil Trinational,106,26,106,68,24,0,0,0,0,0,9,9,0,8,6,0,2,2
BTS,BTSA,génie des équipements agricoles,1287,65,1273,133,433,542,14,0,1,4,274,192,4,176,20,96,60,5
DUT,DUT - Production,Génie électrique et informatique industrielle,38088,2846,35967,20025,10399,1053,2108,389,587,84,4057,3456,277,3271,1893,59,1319,245
DUT,DUT - Production,Génie électrique et informatique industrielle - Trinational,110,12,110,70,23,2,0,0,0,0,11,12,0,11,8,0,3,1
DUT,DUT - Production,Génie industriel et maintenance,10142,726,9318,4022,3710,446,815,153,198,83,1176,873,81,824,396,27,401,63
DUT,DUT - Production,Génie mécanique et productique,50421,4270,49526,29365,12798,564,889,247,286,8,3709,3516,132,3116,1946,25,1145,272
DUT,DUT - Production,Génie mécanique et productique trinational,146,15,146,93,33,0,0,0,0,0,10,9,0,9,8,0,1,2
DUT,DUT - Production,Génie thermique et énergie,11953,1198,11476,5899,3763,157,477,81,139,10,1135,918,45,800,487,6,307,81
Autre formation,Formation en ingénierie,Géographie et aménagement,147,39,103,70,12,3,44,16,5,1,103,15,1,15,15,0,0,7
Licence,Licence - Sciences humaines et sociales,Géographie et aménagement,22447,10455,18047,12406,1247,348,4390,821,582,380,5855,2784,1161,2547,2010,176,361,1664
BTS,BTS - Production,Géologie appliquée,344,91,344,190,32,11,0,0,0,0,24,22,0,22,22,0,0,8
Autre formation,Technicien supérieur,Géomètre-Géomaticien,57,15,54,34,5,2,3,1,0,0,15,14,1,10,8,0,2,3
Licence,Licence - Droit-économie-gestion,Gestion,32991,16637,31179,22492,2767,470,1807,319,284,158,3899,3264,260,2789,2537,38,214,1782
DUT,DUT - Service,Gestion administrative et commerciale des organisations,20989,11654,20761,11065,6179,544,227,56,52,4,933,946,10,835,472,14,349,610
DUT,DUT - Service,Gestion administrative et commerciale des organisations - Arts,754,529,754,410,178,16,0,0,0,0,42,43,0,36,30,0,6,36
BTS,BTS - Services,Gestion de la PME,91980,60634,82036,7427,27102,30860,9824,566,3188,1874,8393,6117,854,5864,569,2878,2417,4932
DUT,DUT - Service,Gestion des entreprises et des administrations,155706,77803,151199,89345,38420,3126,4484,971,1315,190,9812,9259,334,8529,5687,45,2797,5312
BTS,BTSA,Gestion et maitrise de l'eau,3480,844,3161,618,1366,449,318,36,90,33,701,404,72,374,95,60,219,103
BTS,BTSA,Gestion et protection de la nature,14375,5505,13878,3420,3985,3202,492,53,74,90,1250,1136,55,901,285,312,304,483
BTS,BTSA,Gestion forestière,4003,667,3893,1038,1333,904,108,24,23,16,469,371,22,337,105,97,135,63
DUT,DUT - Service,Gestion logistique et transport,11903,3101,10493,4401,3092,974,1400,174,312,129,1496,1194,164,1095,589,96,410,386
Autre formation,Technicien supérieur,Gestionnaire d'unité commerciale,116,46,89,28,15,27,27,2,8,4,110,17,6,17,5,9,3,14
Autre formation,BPJEPS,Golf,32,4,31,19,6,2,1,0,0,0,7,0,0,0,0,0,0,0
Autre formation,DN MADE,Graphisme,16041,10878,15576,5519,3034,1722,462,93,103,61,518,494,16,358,159,39,160,414
Autre formation,Diplôme des métiers d'Arts,Habitat décors et mobiliers. Spécialité : décors et traitements de surfaces,51,42,36,7,8,5,15,5,1,0,3,1,0,0,0,0,0,1
Autre formation,Diplôme des métiers d'Arts,Habitat décors et mobiliers. Spécialité : Ebénisterie,621,285,595,56,85,34,26,1,3,4,77,65,0,2,0,2,0,23
Autre formation,Diplôme des métiers d'Arts,Habitat décors et mobiliers. Spécialité : Marqueterie,19,6,13,1,0,2,6,1,0,1,3,2,0,0,0,0,0,1
Autre formation,Diplôme des métiers d'Arts,Habitat décors et mobiliers. Spécialité : menuiserie en sièges,53,26,37,4,6,7,16,2,2,3,6,2,0,0,0,0,0,1
Autre formation,Diplôme des métiers d'Arts,Habitat décors et mobiliers. Spécialité : sculpture sur bois,29,14,29,1,4,4,0,0,0,0,3,3,0,0,0,0,0,3
Autre formation,Diplôme des métiers d'Arts,Habitat décors et mobiliers. Spécialité : tapisserie,22,17,19,3,3,1,3,0,1,0,4,0,0,0,0,0,0,0
Autre formation,Diplôme des métiers d'Arts,Habitat décors et mobiliers. Spécialité Restauration et conservation de mobilier,27,18,24,4,4,3,3,0,0,2,12,0,0,0,0,0,0,0
Autre formation,Diplôme des métiers d'Arts,Habitat Option décors et mobilier,82,70,82,17,23,18,0,0,0,0,12,9,0,2,0,1,1,9
Autre formation,Diplôme des métiers d'Arts,Habitat Option Ornement et Objets. Spécialité : Ciselure,11,7,11,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0
Autre formation,Diplôme des métiers d'Arts,Habitat Option Ornement et Objets. Spécialité : conception application métal,28,16,18,1,4,2,10,1,2,1,3,2,0,0,0,0,0,1
Autre formation,Diplôme des métiers d'Arts,Habitat Option Ornement et Objets. Spécialité : gravure en modelé,10,8,5,0,1,0,5,1,0,1,2,1,0,0,0,0,0,1
Autre formation,Diplôme des métiers d'Arts,Habitat Option Ornement et Objets. Spécialité : gravure Ornementale,18,14,12,1,2,2,6,1,1,1,3,2,0,0,0,0,0,2
Autre formation,Diplôme des métiers d'Arts,Habitat Option Ornement et Objets. Spécialité : tournage d'art,14,5,14,2,2,1,0,0,0,0,2,2,0,0,0,0,0,0
Autre formation,DEJEPS,Handball,65,11,65,38,13,9,0,0,0,0,1,0,0,0,0,0,0,0
Autre formation,Formation en ingénierie,Histoire,32,9,24,20,1,0,8,1,1,1,20,5,0,5,5,0,0,0
Licence,Licence - Droit-économie-gestion / Sciences humaines et sociales,Histoire,123,68,113,107,1,0,10,3,0,0,40,32,0,30,30,0,0,16
Licence,Licence - Sciences humaines et sociales,Histoire,78897,39074,68417,48444,5280,1811,10465,1817,1566,1190,16943,9503,2829,8410,6345,748,1317,5244
Licence,Licence - Arts-lettres-langues,Histoire de l'art et archéologie,3603,2646,3205,2170,255,79,398,69,38,18,1037,502,124,392,307,27,58,457
Licence,Licence - Sciences humaines et sociales,Histoire de l'art et archéologie,18226,12866,15693,10063,1083,369,2528,333,224,195,4222,2227,786,1690,1397,114,179,2147
Autre formation,Formations d'ingénieurs,Horticulture-Paysage,200,113,200,157,13,0,0,0,0,0,47,47,0,39,36,0,3,28
Autre formation,Mise à niveau,Hôtellerie restauration,9896,5924,9388,4443,1637,907,502,67,76,84,1756,1098,86,865,528,110,227,726
Licence,Licence - Arts-lettres-langues,Humanités,6488,4733,5474,3982,237,115,1012,139,119,119,1494,742,246,639,542,40,57,714
Licence,Licence - Sciences humaines et sociales,Humanités,3735,2507,3189,2200,262,82,539,91,89,58,1083,452,161,413,312,32,69,382
DUT,DUT - Production,Hygiène Sécurité Environnement,9373,2730,9086,4805,2528,557,285,45,84,18,981,827,46,751,477,31,243,232
BTS,BTS - Production,Industries céramiques,67,21,67,9,32,5,0,0,0,0,15,14,0,10,1,0,9,5
DUT,DUT - Service,Information communication Option communication des organisations,20305,15311,20162,11994,3557,230,143,4,69,6,715,723,8,568,434,2,132,612
DUT,DUT - Service,Information communication Option information numérique dans les organisations,4278,2422,4137,2272,713,73,138,49,13,3,297,292,7,211,154,4,53,191
DUT,DUT - Service,Information communication Option journalisme,4247,2191,4247,2750,435,68,0,0,0,0,112,116,0,81,71,0,10,62
DUT,DUT - Service,Information communication Option métiers du livre et du patrimoine,4050,3315,4014,2046,325,132,36,0,20,0,425,423,0,272,238,7,27,352
DUT,DUT - Service,Information communication Option publicité,7175,5052,7175,4259,1209,107,0,0,0,0,284,285,0,225,162,3,60,230
Autre formation,Formation en ingénierie,Information et communication,61,32,44,34,1,0,17,7,0,1,18,7,2,6,6,0,0,5
Licence,Licence - Arts-lettres-langues,Information et communication,8110,5559,7530,5030,586,130,578,129,72,42,1905,1095,227,886,713,39,134,840
Licence,Licence - Sciences humaines et sociales,Information et communication,34989,24754,32944,22267,2326,419,2038,398,337,156,3697,2857,408,2371,2023,73,275,2207
Autre formation,Formation en ingénierie,Informatique,2639,412,2108,1529,158,20,531,168,78,18,373,147,9,135,135,0,0,27
DUT,DUT - Production,Informatique,80576,7286,79569,46246,20210,1504,1003,327,208,11,4440,4410,69,3929,2672,9,1248,408
Licence,Licence - Sciences - technologies - santé,Informatique,48800,7604,44078,30028,4672,640,4704,963,616,286,7402,4429,988,3845,3034,152,659,613
Autre formation,DEUST,Informatique d'Organisation des Systèmes d'Information,238,19,226,87,81,7,12,0,4,1,35,28,4,20,9,0,11,2
Autre formation,DN MADE,Innovation sociale,299,212,298,99,82,29,1,0,0,0,30,30,0,24,12,1,11,18
BTS,BTS - Production,Innovations textiles - Option A : Structures,100,46,100,11,33,34,0,0,0,0,15,14,0,12,1,7,4,9
BTS,BTS - Production,Innovations textiles - Option B : Traitements,72,47,72,4,28,23,0,0,0,0,15,8,0,7,3,0,4,6
Autre formation,Année préparatoire,Insertion à la Licence Scientifique (APILS),233,130,227,103,53,13,6,0,3,0,45,42,2,36,28,0,8,29
Autre formation,DN MADE,Instrument,88,38,88,28,9,4,0,0,0,0,12,12,0,0,0,0,0,4
Autre formation,DEUST,Intervention Sociale,487,421,465,124,198,40,22,1,8,4,70,56,7,36,4,9,23,53
Autre formation,BPJEPS,Judo-Jujitsu (BPJEPS),141,34,124,55,35,26,17,3,7,3,14,3,2,4,3,0,1,2
Autre formation,DEJEPS,Judo-Jujitsu (DEJEPS),29,5,29,9,5,7,0,0,0,0,2,2,0,1,1,0,0,0
Autre formation,Formation en ingénierie,Langues étrangères appliquées,64,40,54,37,10,1,10,0,4,1,20,9,0,8,8,0,0,8
Licence,Licence - Arts-lettres-langues,Langues étrangères appliquées,115746,85747,103668,69668,9685,3576,12059,2116,1600,1415,23408,15641,3583,13659,10376,1076,2207,13650
Licence,Licence - Arts-lettres-langues,"Langues, littératures & civilisations étrangères",1927,1447,1394,814,160,63,529,92,86,74,270,114,115,127,57,36,34,155
Licence,Licence - Arts-lettres-langues,"Langues, littératures & civilisations étrangères et régionales",106676,80910,89082,61215,5908,2711,17565,3078,1869,1745,34291,15975,5251,13796,11017,1085,1694,15363
CPGE,Classe préparatoire littéraire,Lettres,55851,41773,54836,50438,165,78,1008,505,26,48,6353,5212,84,5073,5069,1,3,4165
Licence,Licence - Arts-lettres-langues,Lettres,41788,33335,33672,24104,1076,753,8095,1444,575,713,12539,4742,2107,3979,3358,301,320,5390
Licence,Licence - Arts-lettres-langues / Sciences humaines et sociales,Lettres,235,171,203,157,8,6,32,8,9,2,30,16,4,14,12,1,1,14
Licence,Licence - Arts-lettres-langues,"Lettres, langues",1923,1595,1686,1241,55,46,237,56,21,36,295,177,41,152,132,15,5,186
Licence,Licence - Droit-économie-gestion,Licence intégrée franco-allemande en droit,123,89,81,68,2,2,42,12,2,4,40,7,1,7,7,0,0,7
Autre formation,Classe préparatoire aux études supérieures,Littéraire,346,218,297,255,8,3,49,25,1,4,75,53,5,57,57,0,0,38
Autre formation,DN MADE,Livre,1095,863,989,295,208,29,106,27,14,21,42,37,4,26,16,0,10,38
Autre formation,BPJEPS,Lutte et disciplines associées,13,1,13,5,3,3,0,0,0,0,2,0,0,0,0,0,0,0
Autre formation,Mention complémentaire,Maintenance des installations oléohydrauliques et pneumatiques,74,1,69,1,0,64,5,0,0,5,57,10,2,12,0,12,0,0
BTS,BTS - Production,Maintenance des matériels de construction et de manutention,694,19,672,22,96,412,21,1,1,12,123,74,4,73,0,66,7,2
BTS,BTS - Production,Maintenance des systèmes - option A Systèmes de production,18143,860,17238,626,4405,9325,891,41,207,356,2193,1650,125,1624,46,1071,507,51
BTS,BTS - Production,Maintenance des systèmes - option B Systèmes énergétiques et fluidiques,2154,40,2108,62,395,1342,45,0,12,18,235,176,4,163,2,127,34,1
BTS,BTS - Production,Maintenance des systèmes - option C Systèmes éoliens,1432,31,1384,59,625,507,48,1,22,5,111,97,6,91,2,44,45,2
BTS,BTS - Production,Maintenance des véhicules option motocycles,948,24,947,105,313,404,1,0,1,0,64,51,0,48,8,31,9,2
BTS,BTS - Production,Maintenance des véhicules option véhicules de transport routier,800,18,785,36,138,423,13,1,0,7,128,96,1,80,3,64,13,0
BTS,BTS - Production,Maintenance des véhicules option voitures particulières,8846,379,8741,688,1753,4846,103,5,17,46,952,810,17,759,58,564,137,43
Autre formation,DEUST,"Maintenance hôtelière, hospitalière et immobilière",69,20,52,19,13,18,17,2,6,3,30,13,0,12,2,6,4,0
BTS,BTS - Services,Management des unités commerciales,220440,105621,207620,29500,73396,64104,12696,930,3667,2775,12589,9920,704,9179,1284,4222,3673,5686
BTS,BTS - Services,Management en hôtellerie restauration,18123,9202,17895,0,6743,7066,218,0,65,91,3832,3214,46,2316,0,1083,1233,1685
Autre formation,Mention complémentaire,Maquettes et prototypes,93,36,91,1,6,45,2,0,0,1,28,21,0,6,0,6,0,8
Autre formation,DN MADE,Matériaux,1006,698,898,253,283,63,107,25,19,15,117,88,12,68,26,5,37,73
Autre formation,"CUPGE - Sciences, technologie, santé",Mathématique - Préparation aux écoles d'ingénieurs,677,216,677,538,17,9,0,0,0,0,40,38,0,38,38,0,0,19
Autre formation,Formation en ingénierie,Mathématiques,615,172,492,385,8,1,123,52,6,0,142,19,6,17,17,0,0,11
Licence,Licence - Droit-économie-gestion / Sciences - technologies - santé,Mathématiques,511,221,378,306,10,1,133,37,9,3,40,21,3,17,17,0,0,13
Licence,Licence - Sciences - technologies - santé,Mathématiques,64580,19646,58348,45738,1829,250,6222,1521,591,243,10326,4695,1316,3989,3571,103,315,1827
Licence,Licence - Sciences - technologies - santé,Mathématiques et informatique appliquées aux sciences humaines et sociales,19886,7714,18942,14144,796,97,943,194,79,45,2301,1409,217,1169,1090,19,60,703
Licence,Licence - Sciences humaines et sociales,Mathématiques et informatique appliquées aux sciences humaines et sociales,4150,2145,4032,2782,251,49,118,16,16,5,360,541,40,383,328,11,44,285
Autre formation,"CUPGE - Sciences, technologie, santé",Mathématiques Physique Préparation Concours,265,87,265,180,11,5,0,0,0,0,10,8,0,2,2,0,0,4
Licence,Licence - Sciences - technologies - santé,"Mathématiques, physique, chimie, informatique",1202,326,1202,981,30,4,0,0,0,0,25,29,0,29,29,0,0,8
Autre formation,Mention complémentaire,Mécanicien en compétition automobile - Option monoplace,27,0,27,0,1,24,0,0,0,0,12,11,0,10,0,10,0,0
Autre formation,Formation en ingénierie,Mécanique,1376,309,999,696,59,11,377,161,33,8,202,68,8,60,58,0,2,29
Licence,Licence - Sciences - technologies - santé,Mécanique,2868,430,2762,2032,279,22,106,17,10,4,300,198,25,157,139,3,15,28
Autre formation,Mention complémentaire,Mécatronique navale,158,9,129,2,5,116,27,0,4,17,66,40,5,44,0,40,4,2
Autre formation,Année préparatoire,Méd. Bio. Pass,55,38,47,32,2,1,8,2,2,0,40,16,0,12,12,0,0,11
Autre formation,DEUST,"Médiations citoyennes : éducation, culture, social, environnement",226,164,226,76,57,36,0,0,0,0,45,45,0,30,14,9,7,31
DUT,DUT - Production,Mesures physiques,25196,4962,24335,18235,2473,39,856,220,159,11,2512,2225,111,1956,1695,0,261,471
BTS,BTS - Production,Métiers de la chimie,9250,5008,9050,2734,3321,631,196,26,59,10,831,746,26,622,187,66,369,428
Autre formation,DEUST,Métiers de la cohésion sociale,287,239,186,52,71,19,101,6,30,17,30,6,4,5,2,0,3,8
BTS,BTS - Services,Métiers de la coiffure,721,571,647,100,184,196,74,3,10,28,110,45,9,34,7,12,15,45
Autre formation,DEUST,Métiers de la forme,3959,812,3712,1397,1039,414,244,54,53,34,177,140,20,80,47,4,29,55
BTS,BTS - Production,Métiers de la mode-chaussure et maroquinerie,1081,893,1080,169,155,474,1,1,0,0,93,80,1,63,8,46,9,74
BTS,BTS - Production,Métiers de la mode-vêtements,10189,8629,10052,1621,1696,4490,137,12,33,43,707,665,11,577,90,420,67,613
Autre formation,DEUST,"Métiers de l'animation sociale, socio-éducative et socio-culturelle",191,117,131,41,36,15,60,5,10,10,22,7,16,7,2,3,2,15
