Filière de formation très agrégée,Filière de formation,Filière de formation détaillée,Effectif total des candidats pour la formation,Dont F,En Phase Principale,Dont Bac G,Dont Bac Tech,Dont Bac Pro,En Phase Complémentaire,Dont Bac G,Dont Bac Tech,Dont Bac Pro,Nb Max Admis,En Phase Principale,En Phase Complémentaire,Dont Néo Bac,Dont Bac G,Dont Bac Pro,Donc Bac Tech,Dont F
BTS,BTS - Services,Métiers de l'audio-visuel opt : gestion de la production,5975,2567,5975,2576,991,561,0,0,0,0,163,160,0,123,89,19,15,96
BTS,BTS - Services,Métiers de l'audio-visuel opt : métiers de l'image,13885,4363,13817,5974,2202,1444,68,24,0,0,131,129,1,104,66,23,15,61
BTS,BTS - Services,Métiers de l'audio-visuel opt : métiers du son,12123,1658,12062,4554,2638,1444,61,27,0,0,160,155,0,134,77,26,31,33
BTS,BTS - Services,Métiers de l'audio-visuel opt : montage et post-production,14609,3571,14606,5849,2510,1435,0,0,0,0,158,170,0,136,95,26,15,75
BTS,BTS - Services,Métiers de l'audio-visuel opt : techn. d'ingeniérie et exploit. équipements,3169,446,3163,966,901,501,5,0,3,0,171,170,0,140,58,33,49,32
BTS,BTS - Services,Métiers de l'eau,2437,731,2298,418,1065,324,138,3,42,25,325,237,17,188,50,42,96,70
BTS,BTS - Services,Métiers de l'esthétique-cosmétique-parfumerie,13987,13750,13543,2619,4402,3988,443,60,107,78,1183,921,42,798,137,433,228,955
Autre formation,DEUST,Métiers des bibliothèques et de la documentation,153,109,137,49,12,6,16,0,2,2,40,26,0,9,7,0,2,18
BTS,BTS - Services,Métiers des Services à l'environnement,2452,1017,2259,351,657,519,191,8,40,49,317,235,28,199,19,102,78,114
BTS,BTS - Production,Métiers du géomètre-topographe et de la modélisation numérique,3928,549,3819,1052,976,977,109,6,39,10,417,333,23,304,104,119,81,60
Autre formation,DEUST,Métiers du livre,110,84,110,46,10,8,0,0,0,0,13,12,0,5,4,0,1,8
DUT,DUT - Production,Métiers du multimédia et de l'internet,39298,9937,38673,18575,10236,1068,621,163,93,39,1942,1935,36,1527,965,28,534,661
Autre formation,DU,Métiers du sport,151,43,118,61,23,16,33,10,10,5,14,5,1,6,3,1,2,1
Autre formation,Année préparatoire,Mise à niveau en sciences et technologies,436,252,340,148,87,26,91,17,19,10,75,14,17,22,9,3,10,22
Autre formation,Année préparatoire,Mise à niveau scientifique,1110,676,946,384,248,90,164,33,36,14,160,117,10,105,43,9,53,91
Autre formation,DN MADE,Mode,5482,4362,5482,1953,1027,757,0,0,0,0,112,115,0,77,33,12,32,84
BTS,BTS - Production,Moteur à combustion interne,2057,83,2009,340,636,740,47,7,18,1,199,176,4,158,26,78,54,7
Autre formation,DEJEPS,Motocyclisme,26,1,22,9,11,0,4,0,2,1,2,0,0,0,0,0,0,0
CPGE,Classe préparatoire scientifique,MPSI,173599,47970,171286,142369,326,40,2310,1288,39,10,8729,7963,125,7810,7809,0,1,2001
Licence,Licence - Arts-lettres-langues,Musicologie,8873,4004,7648,4820,754,234,1221,219,137,81,2477,1553,273,1198,937,63,198,743
Autre formation,DEJEPS,Natation,25,3,25,9,10,2,0,0,0,0,2,1,0,1,0,0,1,1
BTS,BTS - Services,Négociation et digitalisation de la Relation Client,140769,64924,134494,16129,51880,42111,6140,525,1734,1476,8426,6787,362,6270,788,2783,2699,3646
BTS,BTS - Services,Notariat,18877,13784,17701,5000,5389,1862,1170,138,231,141,1529,962,113,748,351,88,309,909
Autre formation,DN MADE,Numérique,2797,1588,2749,1050,496,334,45,10,6,8,139,146,1,113,58,16,39,94
Autre formation,DN MADE,Objet,7333,4514,6904,2221,1644,573,425,103,76,62,517,484,21,302,119,51,132,348
Autre formation,Bachelor,Océanographe - Prospecteur,34,14,34,22,5,0,0,0,0,0,12,13,0,10,9,0,1,4
BTS,BTS - Services,Opticien-Lunetier,8818,6183,8612,2945,2240,1287,205,41,28,17,856,686,53,551,266,147,138,529
Autre formation,Diplôme des métiers d'Arts,Option costumier réalisateur,589,544,589,34,102,82,0,0,0,0,37,41,0,7,0,2,5,36
CPGE,Classe préparatoire économique et commerciale,Option économique - Prépa St Cyr,1911,501,1911,1617,18,2,0,0,0,0,135,134,0,122,122,0,0,47
CPGE,Classe préparatoire littéraire,Option lettres et sciences humaines (St Cyr),960,336,943,775,6,0,17,10,0,0,85,79,0,78,78,0,0,26
Autre formation,Mention complémentaire,Organisateur de réception,625,436,542,16,96,358,81,5,17,31,174,87,5,79,0,67,12,69
Autre formation,DN MADE,Ornement,138,125,120,39,18,5,18,5,0,3,18,16,1,8,4,2,2,15
PACES,Licence - Sciences - technologies - santé,"PACES - Médecine, Pharmacie, Odontologie (dentiste), Maïeutique (sage-femmes)",220090,150426,212310,176758,7885,1872,7698,1998,1101,734,47915,39755,1931,37386,35241,543,1602,28851
DUT,DUT - Production,"Packaging, emballage et conditionnement",1499,782,1423,644,557,34,76,11,37,2,186,180,5,166,109,0,57,106
Autre formation,"CUPGE - Sciences, technologie, santé",Parcours mathématiques-physique,920,267,859,669,29,8,61,17,7,8,30,17,4,17,17,0,0,5
Autre formation,"CUPGE - Sciences, technologie, santé",Parcours physique-chimie,548,255,400,281,18,7,148,46,11,8,30,10,5,10,10,0,0,5
Autre formation,"CUPGE - Sciences, technologie, santé",Parcours scientifique renforcé,653,192,641,502,14,6,12,6,0,2,36,31,0,27,27,0,0,7
Autre formation,DN MADE,Patrimoine,93,63,62,8,20,3,31,6,10,2,23,13,4,6,2,0,4,11
Autre formation,Ecole d'architecture,Paysage,517,279,480,232,43,23,37,17,4,0,95,86,1,53,44,3,6,50
Autre formation,Diplôme d'établissement,Paysagiste concepteur,7,5,0,0,0,0,7,5,0,2,30,0,0,0,0,0,0,0
CPGE,Classe préparatoire scientifique,PCSI,149952,49389,147780,123479,186,17,2169,1294,50,25,9152,7936,167,7696,7694,0,2,2605
Autre formation,Année préparatoire,PCSO : Préparation aux cursus scientifiques d'Orsay,657,414,657,314,168,34,0,0,0,0,120,127,0,109,74,1,34,90
Autre formation,Mention complémentaire,Peinture décoration,12,7,9,0,0,8,3,0,2,0,12,2,0,2,0,2,0,0
Licence,Licence - Arts-lettres-langues,Philosophie,925,570,736,501,57,12,189,29,23,21,187,76,34,57,45,3,9,58
Licence,Licence - Sciences humaines et sociales,Philosophie,20889,12802,17124,11655,880,223,3763,686,411,260,3907,1605,832,1292,1060,73,159,1322
BTS,BTS - Services,Photographie,3978,2645,3933,1614,683,527,45,4,4,12,189,179,8,124,82,25,17,123
Autre formation,Formation en ingénierie,Physique,1061,316,870,637,17,3,190,70,11,5,167,57,9,52,52,0,0,28
Licence,Licence - Sciences - technologies - santé,Physique,25105,8003,22942,17210,792,74,2159,460,206,68,3988,1724,496,1397,1233,33,131,607
Autre formation,Formation en ingénierie,"Physique, chimie",359,134,269,206,9,0,90,27,4,0,147,16,4,17,17,0,0,9
Licence,Licence - Sciences - technologies - santé,"Physique, chimie",19627,7949,16907,12636,919,80,2713,645,308,65,2696,1220,487,1096,942,22,132,643
BTS,BTS - Production,Pilotage des procédés,817,202,705,54,233,292,112,5,26,35,171,123,28,119,7,73,39,44
BTS,BTS - Services,Podo-orthésiste,434,297,434,83,189,12,0,0,0,0,38,37,0,19,8,2,9,18
Autre formation,DN MADE,Portail,1143,838,1143,401,257,160,0,0,0,0,90,88,0,58,27,10,21,73
Autre formation,DEUST,"Pratique et gestion des activités physiques, sportives et de loisirs pour les publics séniors",158,66,152,48,40,19,6,0,0,2,20,20,1,12,5,2,5,12
Autre formation,Année préparatoire,Préparation au concours IEP,1163,774,1163,1098,14,1,0,0,0,0,72,83,0,83,83,0,0,64
Autre formation,Classes préparatoires aux écoles du social,Préparation aux concours d'entrée des écoles d'Assistant de service social,190,170,141,45,40,29,49,5,11,20,31,1,2,1,1,0,0,2
Autre formation,Classes préparatoires aux écoles paramédicales,Préparation aux concours d'entrée des écoles de Kinésithérapeute,227,149,191,134,30,15,36,7,8,5,360,3,0,3,1,2,0,1
Autre formation,Classes préparatoires aux écoles paramédicales,Préparation aux concours d'entrée des écoles de Psychomotricité,358,322,308,166,44,12,50,11,4,5,150,16,2,15,13,0,2,17
Autre formation,Classes préparatoires aux écoles paramédicales,Préparation aux concours d'entrée des écoles de Soins Infirmiers,20789,18319,20172,7783,7841,2580,610,82,184,129,1776,1262,60,1240,399,195,646,1193
Autre formation,Classes préparatoires aux écoles du social,Préparation aux concours d'entrée des écoles d'Educateur de Jeunes Enfants,423,368,363,138,109,76,60,6,13,21,61,16,0,15,10,2,3,15
Autre formation,Classes préparatoires aux écoles du social,Préparation aux concours d'entrée des écoles d'Educateur spécialisé,608,508,529,185,181,91,79,9,17,29,82,29,4,29,17,1,11,28
Autre formation,Classes préparatoires aux écoles paramédicales,Préparation aux concours d'entrée des écoles d'Orthophonie,1417,1355,1361,997,74,11,56,15,10,4,77,53,2,47,46,0,1,55
Autre formation,Classes préparatoires aux écoles paramédicales,Préparation aux concours d'entrée en écoles d'audioprothésiste,121,83,108,66,11,2,13,0,2,1,30,7,1,6,6,0,0,4
Autre formation,Classes préparatoires aux écoles paramédicales,Préparation aux concours d'entrée en écoles d'orthoptiste,166,143,144,81,14,4,22,4,4,4,30,8,1,6,6,0,0,8
Autre formation,CUPGE - Droit-économie-gestion,"Préparation aux concours des écoles de commerce, Parcours Economie- Finance",839,393,838,760,8,2,1,1,0,0,95,95,0,93,93,0,0,44
Autre formation,CUPGE - Droit-économie-gestion,"Préparation aux concours des écoles de commerce, Parcours Gestion",761,411,757,690,6,0,4,1,1,0,95,92,1,91,91,0,0,59
Autre formation,Classes préparatoires aux écoles paramédicales,Préparation aux concours paramédicaux,7311,6322,6864,3242,1915,568,446,63,92,101,390,263,23,245,108,21,116,260
Autre formation,Année préparatoire,"Préparation concours écoles de cinéma, photo, image (PREP'ARTS)",173,88,166,114,15,6,7,5,0,2,45,30,0,18,18,0,0,13
Autre formation,"CUPGE - Sciences, technologie, santé",Prep'ISIMA,296,54,252,206,16,0,44,9,5,1,24,17,1,16,15,0,1,2
BTS,BTSA,Production horticole,2153,841,2043,259,313,628,100,3,14,18,539,276,34,231,33,149,49,141
Autre formation,DEUST,"Production, contrôles et qualité des produits de santé",138,110,138,49,26,10,0,0,0,0,15,14,0,9,3,2,4,11
BTS,BTSA,productions animales,7920,5247,7688,2170,3110,1612,230,21,63,56,997,804,29,771,260,152,359,574
BTS,BTSA,productions animales pour Bac pro agricole : accéder à une école d'ingénieur,54,27,48,5,4,36,6,1,1,2,12,6,0,6,0,6,0,4
BTS,BTS - Services,Professions immobilières,50817,28547,49904,13706,16236,9431,900,51,316,168,1439,1334,37,1139,413,261,465,904
BTS,BTS - Services,Prothésiste dentaire,2232,1493,2227,517,533,500,5,0,0,1,68,57,1,53,1,51,1,33
BTS,BTS - Services,Prothésiste orthésiste,3149,2188,3149,831,984,55,0,0,0,0,123,125,0,67,34,4,29,86
Licence,Licence - Sciences humaines et sociales,Psychologie,121784,98665,117252,68677,13583,3615,4523,799,449,251,18300,16112,1392,11884,9114,763,2007,14254
CPGE,Classe préparatoire scientifique,PTSI,34795,6159,33961,28870,264,9,833,411,44,14,3128,2658,75,2554,2553,0,1,422
BTS,BTS - Production,Qualité dans les industries alimentaires et les bio-industries,2462,1536,2362,349,1076,320,98,13,33,17,283,226,21,189,34,33,122,160
DUT,DUT - Production,"Qualité, logistique industrielle et organisation",6444,1668,5836,2884,1739,266,604,107,195,36,1016,873,88,779,460,30,289,252
Autre formation,Diplôme des métiers d'Arts,Régie de spectacle Option lumière,503,151,503,113,97,133,0,0,0,0,40,40,0,25,15,7,3,15
Autre formation,Diplôme des métiers d'Arts,Régie de spectacle Option son,736,142,736,251,175,95,0,0,0,0,40,40,0,28,16,3,9,12
DUT,DUT - Production,Réseaux et télécommunications,15714,1197,14769,7187,4948,687,940,174,241,66,1579,1382,112,1294,709,40,545,70
Autre formation,Titre professionnel,Responsable technique en bâtiment et travaux publics,52,9,52,11,12,15,0,0,0,0,20,20,0,14,8,4,2,6
Autre formation,DEJEPS,Rugby à XV,172,12,172,58,65,28,0,0,0,0,3,2,0,1,0,0,1,1
Autre formation,DEUST,"Santé, environnement : techniques industrielles et commerciales",250,159,140,71,35,8,109,15,22,12,30,6,17,10,7,0,3,16
DUT,DUT - Production,Science et génie des matériaux,6457,1058,6166,4029,1289,19,290,60,79,16,589,518,28,467,360,0,107,98
DUT,DUT - Production,Science et génie des matériaux - arts appliqués,295,132,287,152,90,2,8,2,0,1,42,35,1,32,25,0,7,17
Licence,Licence - Droit-économie-gestion,Science politique,25298,15025,24297,18722,540,136,1001,306,110,56,2260,1528,191,1305,1241,21,43,985
Licence,Licence - Sciences humaines et sociales,Science politique,1060,584,1004,708,43,15,56,13,2,2,125,108,22,90,83,3,4,66
Autre formation,Formation en ingénierie,Sciences de la terre,441,158,332,253,7,2,109,38,10,1,213,42,4,43,43,0,0,16
Licence,Licence - Sciences - technologies - santé,Sciences de la terre,11156,5820,9447,6760,430,57,1707,360,171,74,1742,798,270,685,609,11,65,465
Autre formation,Formation en ingénierie,Sciences de la vie,1871,1147,1615,1153,53,3,256,63,20,4,312,129,12,120,117,0,3,96
Licence,Licence - Sciences - technologies - santé,Sciences de la vie,90021,61499,84019,57916,5404,286,5985,1333,580,133,15593,9525,1487,7336,6488,73,775,7132
Autre formation,Formation en ingénierie,Sciences de la vie et de la terre,380,176,300,226,13,2,80,25,7,1,122,40,4,40,39,0,1,26
Licence,Licence - Sciences - technologies - santé,Sciences de la vie et de la terre,28850,19323,27598,18863,1613,126,1249,266,131,35,4130,3144,423,2434,2148,28,258,2227
Autre formation,"CUPGE - Sciences, technologie, santé",Sciences de la Vie et de la Terre : préparation aux concours B Agro et Véto (Sites Saint Charles),755,566,661,503,32,11,94,34,5,6,25,11,12,16,16,0,0,16
Licence,Licence - Sciences humaines et sociales,Sciences de l'éducation,41311,36313,40865,23560,5404,1097,443,82,51,24,4655,4279,129,3281,2424,157,700,4004
Licence,Licence - Sciences humaines et sociales,"Sciences de l'Homme, Anthropologie, Ethnologie",5944,4164,5506,3593,220,58,438,70,37,26,912,846,102,562,506,24,32,609
Licence,Licence - Arts-lettres-langues,Sciences du langage,5290,4359,4543,2923,192,48,745,131,82,45,1125,752,200,540,465,14,61,742
Licence,Licence - Arts-lettres-langues / Sciences humaines et sociales,Sciences du langage,463,389,357,235,7,3,106,20,9,8,151,64,32,44,36,2,6,80
Licence,Licence - Sciences humaines et sociales,Sciences du langage,9711,8560,8006,4978,475,91,1701,323,179,116,2565,1415,531,1098,903,49,146,1734
Autre formation,Classe préparatoire aux études supérieures,Sciences économiques,237,94,203,175,6,4,34,12,4,7,40,31,4,35,35,0,0,12
Licence,Licence - Sciences - technologies - santé,Sciences et Humanités,672,431,672,406,67,21,0,0,0,0,60,59,0,36,33,1,2,30
Autre formation,Formation en ingénierie,Sciences et Techniques des Activités Physiques et Sportives,125,31,104,70,5,1,21,8,0,1,15,8,1,8,8,0,0,3
Licence,Licence - Sciences - technologies - santé,Sciences et Techniques des Activités Physiques et Sportives,108019,33077,106467,73867,13524,2693,1495,397,256,130,16869,15905,456,13856,11196,473,2187,5010
Licence,Licence - Sciences humaines et sociales,Sciences et Techniques des Activités Physiques et Sportives,27077,8087,26197,17212,3368,734,871,239,183,75,2823,2800,16,2446,2114,54,278,944
Licence,Licence - STAPS,Sciences et Techniques des Activités Physiques et Sportives,8815,2632,8733,6295,922,189,82,25,13,4,990,944,26,851,729,30,92,320
Autre formation,Formation en ingénierie,Sciences et technologies,59,8,51,38,1,0,8,1,2,0,12,6,0,6,6,0,0,0
Licence,Licence - Sciences - technologies - santé,Sciences et technologies,33670,14986,32598,23011,1479,129,1067,263,118,41,3347,2956,231,2111,1925,29,157,1493
BTS,BTSA,Sciences et technologies des aliments spécialité Aliments et processus technologiques,2730,1555,2443,358,911,544,282,16,76,55,684,384,60,337,58,113,166,241
BTS,BTSA,Sciences et technologies des aliments spécialité Produits céréaliers,76,31,71,8,15,28,5,0,1,2,16,11,1,6,0,5,1,3
BTS,BTSA,Sciences et technologies des aliments spécialité Produits laitiers,501,286,486,95,165,106,14,2,4,3,94,74,6,61,20,14,27,49
BTS,BTSA,Sciences et technologies des aliments spécialité Viandes et produits de la pêche,111,32,110,21,38,17,1,0,1,0,18,13,0,9,4,1,4,4
Autre formation,Formation en ingénierie,Sciences pour la santé,112,81,88,56,2,0,24,6,4,0,40,1,0,1,1,0,0,1
Licence,Licence - Sciences - technologies - santé,Sciences pour la santé,19626,15123,19000,11942,1481,127,619,102,88,35,1817,1403,258,974,753,19,202,1314
Autre formation,"CUPGE - Sciences, technologie, santé",Sciences pour l'ingénieur,134,35,110,76,8,2,24,6,3,2,40,9,0,7,5,0,2,1
Autre formation,Formation en ingénierie,Sciences pour l'ingénieur,2391,416,2098,1479,157,20,293,139,18,2,334,116,6,110,109,0,1,32
Licence,Licence - Sciences - technologies - santé,Sciences pour l'ingénieur,20209,3858,18594,13270,1937,185,1609,350,234,75,2281,1052,347,947,705,38,204,201
Licence,Licence - Sciences humaines et sociales / Sciences - technologies - santé,Sciences pour l'ingénieur,159,77,128,85,12,3,31,5,4,4,75,31,7,26,20,2,4,19
Licence,Licence - Droit-économie-gestion,Sciences sanitaires et sociales,733,658,669,327,166,31,64,2,11,6,180,135,28,99,58,11,30,145
Licence,Licence - Sciences - technologies - santé,Sciences sanitaires et sociales,5291,4906,5081,1324,2369,407,210,19,39,39,635,473,50,421,77,33,311,493
Licence,Licence - Sciences humaines et sociales,Sciences sanitaires et sociales,1598,1429,1403,568,414,72,193,17,38,28,334,200,69,169,77,21,71,241
Licence,Licence - Droit-économie-gestion,Sciences sociales,1429,864,1374,1199,9,0,55,30,3,0,200,169,13,150,149,0,1,108
Licence,Licence - Sciences humaines et sociales,Sciences sociales,18213,12913,16102,10451,1334,340,2109,275,312,199,3418,2218,654,1783,1384,141,258,1947
Autre formation,Classe préparatoire aux études supérieures,Scientifique,2025,601,1939,1445,123,107,86,27,9,22,240,212,3,209,176,22,11,60
BTS,BTS - Services,Service et prestation des secteurs sanitaire et social,43166,39728,41399,4349,13409,15606,1740,81,358,528,3329,2678,189,2402,242,1167,993,2717
Autre formation,Mention complémentaire,Services financiers,120,76,112,6,19,84,8,0,1,5,30,17,2,18,1,16,1,16
BTS,BTS - Services,Services informatiques aux organisations,61234,4850,57386,9455,20298,13949,3808,298,1167,520,5873,4668,356,4080,827,1504,1749,383
Licence,Licence - Sciences humaines et sociales,Sociologie,39354,28601,33543,21497,3444,893,5794,972,928,594,7142,4097,2048,3738,2482,427,829,4362
Autre formation,DN MADE,Spectacle,1927,1582,1922,459,340,252,5,1,0,3,134,136,1,76,33,13,30,106
Autre formation,DEJEPS,Spéléologie,8,0,8,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0
DUT,DUT - Service,Statistique et informatique décisionnelle,6032,1504,5666,3940,591,14,366,116,59,4,683,586,51,485,437,1,47,187
BTS,BTS - Services,Support à l'action managériale,67803,50006,61140,4016,23965,22794,6556,387,1971,1422,7895,5848,711,5522,470,2489,2563,5221
Autre formation,BPJEPS,Surf,30,4,27,12,5,5,3,1,2,0,5,2,0,1,0,0,1,1
BTS,BTS - Production,Systèmes constructifs bois et habitat,3352,253,3253,429,1117,1290,99,11,24,34,458,357,20,319,38,185,96,27
BTS,BTS - Production,Systèmes numériques - Option électronique et communication,19497,811,17828,1729,6236,6683,1652,85,485,449,2153,1619,148,1518,118,718,682,57
BTS,BTS - Production,Systèmes numériques - Option informatique et réseaux,53473,3152,51727,8923,18842,11950,1722,121,328,566,3065,2737,116,2434,406,864,1164,110
BTS,BTS - Production,Systèmes photoniques,1117,219,925,127,461,192,190,15,62,33,245,146,34,141,19,27,95,41
CPGE,Classe préparatoire scientifique,TB,1967,1322,1967,0,1892,0,0,0,0,0,197,202,0,201,0,0,201,130
Autre formation,Mention complémentaire,"Technicien ascensoriste, service et modernisation",831,9,780,0,3,702,50,0,7,35,196,112,8,105,0,105,0,2
Autre formation,DEUST,Technicien de la mer et du littoral,208,91,208,86,56,13,0,0,0,0,32,31,0,20,9,0,11,9
Autre formation,Mention complémentaire,Technicien en chaudronnerie aéronautique et spatiale,130,2,126,1,1,122,4,0,0,4,36,29,2,31,0,31,0,0
Autre formation,Mention complémentaire,Technicien en énergies renouvelables (option énergie électrique),749,21,682,6,16,594,65,1,9,36,246,106,8,101,0,96,5,3
Autre formation,Mention complémentaire,Technicien en énergies renouvelables (option thermique),431,14,380,6,10,328,49,0,2,34,149,65,8,72,0,69,3,0
Autre formation,Technicien supérieur,Technicien en Qualité Sécurité Environnement Management des risques,48,18,41,27,3,0,7,3,1,0,47,17,2,15,14,0,1,6
Autre formation,Mention complémentaire,Technicien en réseau électrique,142,3,134,1,4,123,8,0,1,7,34,18,0,18,0,16,2,0
Autre formation,Technicien supérieur,Technicien Supérieur du transport aérien et maritime de marchandises,24,6,19,7,6,3,5,0,2,1,15,1,0,0,0,0,0,1
Autre formation,Technicien supérieur,Technicien Supérieur Géologie,59,16,58,40,6,0,1,1,0,0,30,22,0,17,14,0,3,6
Autre formation,Mention complémentaire,Technicien(ne) en soudage,823,25,790,1,8,741,33,0,5,23,204,139,12,140,0,139,1,6
Autre formation,Mention complémentaire,Technicien(ne) en tuyauterie,77,3,71,0,2,66,5,0,2,2,67,24,0,23,0,23,0,1
BTS,BTS - Production,Technico-commercial (BTS),36587,9549,34731,4166,12892,10221,1835,158,397,464,2726,2229,158,2040,158,1054,828,518
BTS,BTSA,Technico-commercial (BTSA),5755,2602,4834,605,1385,1856,885,68,277,213,1603,887,154,888,121,491,276,507
DUT,DUT - Service,Techniques de commercialisation,167954,81191,162829,92234,45454,3427,5100,1329,1430,197,9218,8739,438,8107,4814,136,3157,5253
DUT,DUT - Service,Techniques de commercialisation - Formation franco-allemande en gestion touristique TEC2TOUR,198,134,195,125,28,4,3,1,0,2,14,13,1,12,12,0,0,13
DUT,DUT - Service,Techniques de commercialisation - Formation trinationale franco-germano-suisse IBM,346,181,346,248,37,5,0,0,0,0,32,33,0,31,30,0,1,20
BTS,BTS - Production,Techniques et services en matériels agricoles,737,42,732,41,132,460,5,0,0,3,138,114,1,110,4,96,10,1
BTS,BTS - Production,Techniques physiques pour l'industrie et le laboratoire,1640,481,1450,352,599,76,188,17,54,15,234,160,22,123,41,4,78,47
Autre formation,DEUST,Technologies de l'organisation dans les professions de santé,181,137,99,31,38,2,82,9,23,6,30,12,11,16,5,0,11,15
Autre formation,DEJEPS,Tennis,116,22,104,51,28,11,12,2,1,1,12,3,0,2,1,0,1,0
Autre formation,BPJEPS,Tennis de table (BPJEPS),60,11,54,26,14,9,6,0,2,3,9,0,0,0,0,0,0,0
Autre formation,DEJEPS,Tennis de table (DEJEPS),58,3,44,20,8,9,14,6,5,2,4,0,0,0,0,0,0,0
Autre formation,DN MADE,Textile,1818,1595,1793,468,518,153,25,5,2,4,85,82,3,63,28,9,26,71
Autre formation,Diplôme des métiers d'Arts,"Textile Céramique : Arts textiles, option broderie",224,209,224,13,75,33,0,0,0,0,19,20,0,5,0,0,5,20
Autre formation,Diplôme des métiers d'Arts,"Textile Céramique : Arts textiles, option tissage",78,74,78,4,30,9,0,0,0,0,4,5,0,2,0,0,2,5
Autre formation,Diplôme des métiers d'Arts,Textile Céramique : Céramique Artisanale,156,127,137,19,40,10,19,6,2,3,24,22,2,9,2,1,6,19
Licence,Licence - Sciences humaines et sociales,Théologie,150,72,122,80,11,7,28,7,6,6,145,12,2,10,8,1,1,7
Licence,Licence - Sciences humaines et sociales,Théologie Catholique,137,66,93,53,2,3,44,6,2,3,65,12,11,5,5,0,0,10
Licence,Licence - Sciences humaines et sociales,Théologie Protestante,116,51,69,33,5,4,47,1,4,0,65,8,26,2,0,1,1,16
BTS,BTS - Services,Tourisme,64153,49014,60881,19056,13610,12478,3248,343,567,630,4908,3744,351,2928,1264,817,847,3324
CPGE,Classe préparatoire scientifique,TPC,568,232,556,0,531,0,12,0,7,0,110,98,1,97,0,0,97,41
BTS,BTS - Production,Traitement des matériaux,1024,140,880,112,431,133,143,13,55,8,173,121,25,111,16,20,75,19
BTS,BTS - Services,Transport et prestations logistiques,16929,3953,15921,1673,3645,5488,985,40,144,252,1404,1148,79,1058,112,637,309,276
BTS,BTS - Production,Travaux publics,7733,580,7267,1015,2784,1866,461,42,107,102,729,539,53,496,63,208,225,38
Autre formation,DEJEPS,Triathlon,32,7,32,21,4,3,0,0,0,0,3,2,0,2,2,0,0,1
CPGE,Classe préparatoire scientifique,TSI,10528,884,10351,0,9322,147,175,0,136,7,1572,1375,21,1353,0,54,1299,111
Autre formation,DEJEPS,Vélo tout terrain,59,5,59,29,16,9,0,0,0,0,4,1,0,1,1,0,0,0
Autre formation,Mention complémentaire,Vendeur spécialisé en produits techniques pour l'habitat,101,44,81,2,3,67,17,0,2,13,30,15,4,20,0,20,0,10
BTS,BTSA,Viticulture-Oenologie,2761,997,2695,858,743,551,66,13,13,10,397,287,16,262,92,73,97,101
Autre formation,DEJEPS,Volley-ball (DEJEPS),66,20,66,31,12,15,0,0,0,0,5,0,0,0,0,0,0,0
Autre formation,DEUST,Webmaster et gestionnaire d'intranet,328,100,212,76,38,16,116,13,15,12,100,44,28,27,17,4,6,28
